"French_Muni","Swiss_Muni","local_admin_unit_id_from","local_admin_unit_id_to","flow_volume","nb.vehicles","distance","duration","share_in_ch","nb_vehicles_adj"
"Durmenach - Rhin (Haut-) - fr-68075","Basel - Bâle-Ville - ch-2701","fr-68075","ch-2701",10.0792310401809,9.1519417844843,25.117,30.85,0.27698148787588,6.10129452298953
"Durrenentzen - Rhin (Haut-) - fr-68076","Basel - Bâle-Ville - ch-2701","fr-68076","ch-2701",1.60257359441878,1.5448809450197,74.624,58.4166666666667,0.0573334935625028,1.02992063001313
"Eglingen - Rhin (Haut-) - fr-68077","Basel - Bâle-Ville - ch-2701","fr-68077","ch-2701",4.56621525125914,4.0456667126156,40.105,44.5333333333333,0.0856143035723569,2.69711114174374
"Eguisheim - Rhin (Haut-) - fr-68078","Basel - Bâle-Ville - ch-2701","fr-68078","ch-2701",2.89613812652911,2.06494648421526,62.38,47.8666666666667,0.0380122032462563,1.37663098947684
"Elbach - Rhin (Haut-) - fr-68079","Basel - Bâle-Ville - ch-2701","fr-68079","ch-2701",3.05612831777187,2.56714778692837,62.251,53.2166666666667,0.073724931675675,1.71143185795225
"Emlingen - Rhin (Haut-) - fr-68080","Basel - Bâle-Ville - ch-2701","fr-68080","ch-2701",3.6553691643938,3.09244231307716,27.026,31.35,0.116518185912031,2.06162820871811
"Saint-Bernard - Rhin (Haut-) - fr-68081","Basel - Bâle-Ville - ch-2701","fr-68081","ch-2701",6.93920900388201,5.939962907323,38.768,43.95,0.0889411088549361,3.95997527154867
"Ensisheim - Rhin (Haut-) - fr-68082","Basel - Bâle-Ville - ch-2701","fr-68082","ch-2701",31.6731007343707,27.5872707396368,43.962,37.1666666666667,0.0639158696914187,18.3915138264246
"Eschentzwiller - Rhin (Haut-) - fr-68084","Basel - Bâle-Ville - ch-2701","fr-68084","ch-2701",62.6005843930233,52.3340885525675,29.289,29.3166666666667,0.12804536463239,34.8893923683783
"Eschentzwiller - Rhin (Haut-) - fr-68084","Delémont - Jura - ch-6711","fr-68084","ch-6711",1.36982739081664,1.14517569872271,71.376,63.6,0.188675212360733,0.763450465815139
"Eteimbes - Rhin (Haut-) - fr-68085","Basel - Bâle-Ville - ch-2701","fr-68085","ch-2701",4.59018488512402,4.34231490132732,59.668,47.4333333333333,0.0630895240706442,2.89487660088488
"Falkwiller - Rhin (Haut-) - fr-68086","Basel - Bâle-Ville - ch-2701","fr-68086","ch-2701",2.6007052743392,2.34063474690528,54.554,44.1333333333333,0.0749449134679775,1.56042316460352
"Feldbach - Rhin (Haut-) - fr-68087","Basel - Bâle-Ville - ch-2701","fr-68087","ch-2701",5.65683359211107,4.99498406183407,29.45,38.2833333333333,0.19217042024518,3.32998937455605
"Feldkirch - Rhin (Haut-) - fr-68088","Basel - Bâle-Ville - ch-2701","fr-68088","ch-2701",41.6927271301275,38.5240798682378,47.421,39.3333333333333,0.0631415681148644,25.6827199121585
"Fellering - Rhin (Haut-) - fr-68089","Basel - Bâle-Ville - ch-2701","fr-68089","ch-2701",6.79246396651104,6.22868945729062,68.885,62.9833333333333,0.0478511125906207,4.15245963819375
"Ferrette - Rhin (Haut-) - fr-68090","Basel - Bâle-Ville - ch-2701","fr-68090","ch-2701",9.88747396926193,8.10772865479478,27.71,33.05,0.341488118251258,5.40515243652985
"Fessenheim - Rhin (Haut-) - fr-68091","Basel - Bâle-Ville - ch-2701","fr-68091","ch-2701",3.8034413307539,3.00471865129558,47.251,44.1166666666667,0.0858356662301253,2.00314576753039
"Fislis - Rhin (Haut-) - fr-68092","Basel - Bâle-Ville - ch-2701","fr-68092","ch-2701",4.78194195604304,4.4998073806365,25.902,32.1166666666667,0.446536879373328,2.999871587091
"Flaxlanden - Rhin (Haut-) - fr-68093","Basel - Bâle-Ville - ch-2701","fr-68093","ch-2701",60.9197566522807,54.2795031771821,48.377,42.7833333333333,0.121503241212448,36.1863354514547
"Flaxlanden - Rhin (Haut-) - fr-68093","Delémont - Jura - ch-6711","fr-68093","ch-6711",1.33304748051966,1.18774530514302,55.298,64.9,0.207893390458542,0.791830203428679
